ReviewId,mentions
9192,celery
9193,corn
9193,apple
9196,broth
9202,pork
9205,broccoli
9205,garlic
9205,peas
9206,butter
9206,rice
9206,chicken
9206,mustard
9220,garlic
9221,lemon
9221,garlic
9221,potatoes
9222,dill
9222,salmon
9224,corn
9241,cheese
9241,eggs
9266,cheese
9266,fat
9272,chicken
9273,potato
9276,chocolate
9305,corn
9308,fat
9322,garlic
9323,pork
9324,lemons
9324,asparagus
9324,horseradish
9324,lime
9331,potatoes
9331,horseradish
9343,orange
9343,ginger
9343,onions
9343,chives
9353,beef
9354,pineapple
9357,pork
9358,lemon
9358,pepper
9362,prosciutto
9368,pineapple
9368,raisins
9368,water
9373,milk
9373,pepper
9373,salt
9373,butter
9376,corn
9376,beef
9377,potatoes
9379,sugar
9382,cheese
9382,potatoes
9387,hamburger
9391,pork
9395,bacon
9395,pepper
9401,garlic
9401,cheese
9401,chicken
9402,cabbage
9402,sauerkraut
9404,vinegar
9404,cilantro
9416,sausage
9424,mushrooms
9426,orange
9426,water
9438,chicken
9461,chicken
9464,cheese
9470,cheese
9473,salsa
9473,tomatoes
9473,chicken
9475,onion
9481,garlic
9496,radish
9499,rice
9500,garlic
9500,onion
9509,water
9521,salt
9521,peanuts
9521,cilantro
9526,chocolate
9526,sugar
9526,egg
9526,oatmeal
9526,butter
9531,horseradish
9533,salt
9533,potatoes
9535,garlic
9535,cloves
9542,bacon
9547,spaghetti
9553,rice
9553,spinach
9553,cayenne
9554,salt
9554,lemon
9554,pepper
9568,carrots
9568,dill
9574,potato
9574,cheese
9574,beef
9574,chicken
9577,chicken
9579,salt
9579,pepper
9582,pork
9582,onion
9582,sage
9582,squash
9582,peas
9586,carrots
9589,garlic
9615,potato
9615,potatoes
9615,peas
9616,lemon
9616,shrimp
9616,rice
9616,chicken
9621,mustard
9638,garlic
9640,beef
9640,garlic
9640,broth
